customer_phone,apply_date_key,order_status_key,als_m12_id_nbank_orgnum,als_m3_id_nbank_min_inteday,als_m12_id_nbank_min_inteday,als_m12_id_nbank_week_orgnum,als_m12_id_min_inteday,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,als_m12_id_rel_orgnum,als_m12_id_cooff_orgnum,als_m12_id_bank_ret_orgnum,als_lst_id_nbank_consnum,als_m6_id_bank_min_inteday,als_d7_id_nbank_week_orgnum,als_m12_id_nbank_finlea_allnum,als_m12_id_bank_min_inteday,als_m12_id_af_orgnum,in_black_list,debt_pressure_index,model_risk_v7_stongyong_score,v6_seq_online,omriskscoregeneral,actual_age,gender,city_name,degree,card_num
e2156d75ad85d43e418a1eb7e606c460,2023-03-08,3,7.0,-9999.0,0.0,3.0,0.0,0.0,-9999.0,1.0,1.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,True,63.0,47.0,21.0,714.0,35.0,male,u,大学专科,3张
6507325328698c6943bd0e16a68909e9,2023-02-09,3,9.0,4.0,1.0,3.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,0.0,-9999.0,0.0,0.0,0.0,,27.0,39.0,47.0,659.0,30.0,female,咸阳市,大学专科,1张
2a018383409b1af85120694adc719468,2023-03-07,3,10.0,6.0,0.0,5.0,0.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,23.0,37.0,41.0,663.0,52.0,female,u,大学专科,1张
fe341cbbb3e967aacca992f7f19e898d,2023-03-06,3,20.0,0.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,38.0,79.0,48.0,443.0,42.0,male,西安市,大学专科,2张
47b4c7e02f0cf19f35b6e0a8502924c8,2023-03-06,2,1.0,-9999.0,-9999.0,0.0,246.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,25.0,32.0,46.0,690.0,27.0,male,渭南市,大学本科,2张
b40d59cdf056d080094278f8a41c44f7,2023-03-04,3,4.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,37.0,47.0,41.0,602.0,34.0,female,咸阳市,高中及以下,1张
cea8275efa519f62652e55599942a3f8,2023-03-04,3,20.0,1.0,0.0,7.0,0.0,0.0,-9999.0,4.0,1.0,1.0,1.0,138.0,-9999.0,0.0,5.0,0.0,,38.0,50.0,44.0,694.0,29.0,male,宝鸡市,大学专科,3张
aa74617e1feb62c93d9b0ac8b2511c9b,2023-03-03,3,4.0,8.0,8.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,8.0,0.0,0.0,2.0,0.0,,29.0,44.0,21.0,584.0,33.0,female,延安市,大学专科,2张
61180cef9277aecc888fdbbb7f60a521,2023-03-06,3,4.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,4.0,-9999.0,0.0,2.0,0.0,,28.0,35.0,36.0,758.0,30.0,female,铜川市,大学专科,1张
bd076ddf31318397a473050a565c0659,2023-03-03,3,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,24.0,35.0,32.0,748.0,24.0,male,西安市,大学专科,2张
48016d8f2f646c7324b144ca634fdf6f,2023-03-03,3,24.0,0.0,0.0,15.0,0.0,10.0,11.0,1.0,0.0,1.0,3.0,25.0,1.0,1.0,25.0,0.0,,46.0,65.0,42.0,503.0,37.0,female,咸阳市,高中及以下,1张
7774d2330eea745fa74ff9630c476759,2023-03-02,2,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,-9999.0,1.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,11.0,58.0,17.0,704.0,40.0,male,渭南市,大学专科,2张
dbb37e24203b7ab8fa2cd6f4e91939cb,2023-03-02,3,0.0,-9999.0,-9999.0,-9999.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,0.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,22.0,41.0,31.0,648.0,56.0,male,扬州市,大学专科,1张
e3e924d19f568cb33e1c49c04954302b,2023-03-02,6,3.0,48.0,48.0,1.0,48.0,1.0,1.0,1.0,0.0,0.0,1.0,-9999.0,1.0,0.0,-9999.0,0.0,,29.0,56.0,44.0,656.0,21.0,male,汉中市,大学专科,3张
d09a8e041e6ee5069da59a10fb8914e2,2023-01-29,3,,,,,,,,,,,,,,,,,,24.0,26.0,34.0,764.0,34.0,male,咸阳市,大学专科,2张
35a3fcece9217772da1b63725ac3a8a8,2023-03-01,3,3.0,57.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,31.0,63.0,54.0,553.0,24.0,male,铜川市,大学专科,2张
00c11c44458ef0889af3ff2b2a3a8520,2023-03-01,2,,,,,,,,,,,,,,,,,,19.0,44.0,25.0,813.0,53.0,female,宝鸡市,高中及以下,2张
